Name	Log2ratio_Log10fdr
Ankle1	1.597381933
Mxd4	1.591451636
Mcl1	1.590510689
Sh2d5	1.588385272
Fign	1.579116794
Pigg	1.577048358
Fam13b	1.57507578
Mfhas1	1.573324328
Gm9920	1.566902914
Serpinh1	1.544128525
Rps6ka2	1.54322435
Tnr	1.539446019
Lrg1	1.536843556
Arhgap4	1.53585938
Adal	1.523912691
Atg4d	1.519434688
Acrbp	1.518644231
Cyp11a1	1.516329427
Gpd1	1.516318473
Ccdc81	1.513800907
Dnajc1	1.513230938
Chrm5	1.510282772
Pla2g4b	1.507847255
Crk	1.503939716
Mast2	1.502411638
Sfpq	1.500313612
Arrb1	1.495569754
Calhm5	1.495287837
Cgrrf1	1.493069366
Brinp2	1.48817531
Usp45	1.487129053
Arih1	1.483304893
Tgs1	1.481254287
Mt1	1.480156728
Tmem30c	1.478584512
Rgs8	1.47347157
Tnfrsf22	1.473020696
Fam71d	1.470754528
Ago3	1.469047458
Atp8b3	1.466465709
Sulf1	1.462000705
Ubash3b	1.458401573
Plekha3	1.457311263
Ube2d3	1.457176
Ubn1	1.456197622
Nadk	1.453405052
Chst11	1.452391841
H2-T23	1.451204749
Kcnj6	1.448422736
Ccnd1	1.447915318
Chrd	1.44587457
Srsf10	1.443243132
Tunar	1.442076838
Sfn	1.441657858
Irf2bp2	1.438745095
Slc19a3	1.438387092
Zfp397	1.436466667
Kitl	1.433666856
Edrf1	1.430411157
Abcc9	1.429174334
Cbr2	1.428260292
Noct	1.424568894
Ipo8	1.420885655
Pik3r1	1.420655494
Fastkd5	1.420652214
Scn3b	1.415137859
Dscaml1	1.412140552
Ostc	1.410266534
Trim2	1.407876553
Fermt1	1.406155536
Mlxip	1.404839541
Cdyl2	1.401086342
Znrf1	1.400208391
Zfp24	1.395847721
Chka	1.390483875
Zfp931	1.389969699
Deptor	1.38891668
Tmem273	1.388427711
H2bc6	1.386518299
4930471C04Rik	1.385050602
E330034G19Rik	1.384731319
Tns3	1.381157701
Slc4a7	1.381132532
Erich2	1.377826533
Ccar1	1.372427003
Amigo2	1.371946123
Evc2	1.367799945
Synj2	1.366944311
Mphosph10	1.366584465
Kremen1	1.361594695
Sorbs1	1.360973041
Slc43a1	1.360778704
Rnf39	1.360608506
St7	1.358636276
Rgs17	1.357012083
Fstl4	1.352339382
Prkd2	1.351232757
Nmt1	1.346088991
2810006K23Rik	1.345205863
Zfp882	1.344503965
Nfkbid	1.33276089
Nwd1	1.326836916
Dhx33	1.324853127
Zfp772	1.323015367
Ahsa1	1.322110552
Cnga2	1.321955407
Irak2	1.321075114
Gfy	1.321037075
Ndufaf4	1.320109589
Ccdc117	1.319663895
Ms4a6b	1.318401953
Prps1l3	1.31450175
Mir124a-1hg	1.312292884
Casp8ap2	1.306716643
Gpr179	1.306627543
Ptk2	1.305924128
Zfp141	1.301877075
Slc7a14	1.296402098
Ncoa5	1.289213898
Ptpdc1	1.288457085
Alkal2	1.28504417
Alms1-ps2	1.284754394
Stk40	1.281265502
Tmem119	1.279303561
Ercc5	1.278548193
Egln1	1.278101142
Spata19	1.276289634
Mapkbp1	1.275486256
Pou3f1	1.273343937
Gm14169	1.273184473
Taf4	1.271095856
F2rl3	1.270642029
Scg2	1.268513663
Crybb3	1.265997119
Fam135b	1.265719363
B230354K17Rik	1.26540456
Stk35	1.264494542
Srrm3	1.261620243
Oprd1	1.260730033
Sdk2	1.260382094
Il12a	1.260032442
Tob2	1.259963733
Gm16062	1.257601362
Emb	1.255973604
2310034O05Rik	1.251370153
Luzp1	1.250406021
Cep104	1.249416173
Ogfod1	1.248895924
Tns1	1.24850369
Stk4	1.247247238
Spty2d1	1.246692452
Timp4	1.246322925
Tmc7	1.242566377
Lcn2	1.242133789
Cadm1	1.238770534
Spef1	1.236126837
Gon7	1.235937811
Upf2	1.235919332
Sacm1l	1.23286173
Tmem87a	1.232617652
Psrc1	1.225683797
Ppp1r32	1.223032123
Cpm	1.222778816
Myo1a	1.215317022
Fv1	1.212417871
Alms1-ps1	1.21103082
Rad54b	1.209644328
Rasgrp2	1.209114181
Rhpn2	1.208218352
Pcgf3	1.207212493
Slc10a7	1.206443125
Btg3	1.204226395
Zfp773	1.202543543
Mcf2l	1.20150216
Cyp1b1	1.194132731
Mon2	1.193653271
Gm1141	1.193523067
F3	1.189685037
Hdac8	1.187947846
Ice2	1.182919865
Cbfa2t3	1.182839508
Mpzl2	1.181870577
Afdn	1.180366809
Zbtb33	1.180096577
Mrps6	1.179940817
Rab38	1.179209066
Btc	1.167975729
Thap2	1.166968153
Rbm18	1.165805652
Pid1	1.165416503
Plekhg1	1.164447745
Ier5	1.163990787
Tmtc3	1.162355765
A630023P12Rik	1.161437557
Cobl	1.158302637
Acsl3	1.153019129
Snx14	1.152304718
Ascc2	1.150262001
Xlr4a	1.150179339
Ahsa2	1.149010633
Lrrtm2	1.145484486
Itga9	1.142445694
Banp	1.142058346
Srrt	1.141008323
Fkbp4	1.139279337
Prss57	1.138651849
Srms	1.13862127
Gen1	1.138317432
Birc2	1.134408994
Stra6	1.134238334
Ccng1	1.133009025
Usp31	1.132047514
Gpr155	1.128058521
Pptc7	1.123864303
B4galt1	1.117691117
Clic5	1.113473898
Tmem33	1.111159813
Tmem215	1.110877989
Hexa	1.107137891
Cry1	1.10330034
Aspg	1.099751697
Vxn	1.09885628
Csnk1a1	1.096305079
Hrk	1.094865069
Cstf3	1.093174306
Creb1	1.091321487
Thrsp	1.088911891
Heca	1.088673963
Zfp420	1.088496561
Lpar2	1.087564656
Sik2	1.087115659
Sebox	1.085812837
Dmtf1	1.084453515
Carnmt1	1.081256313
Paqr9	1.080695304
Arhgef7	1.078902778
Rbm7	1.077667431
Syne4	1.076530365
Ric8b	1.076087112
H2-T-ps	1.075664036
Srxn1	1.075620297
Pcdh17	1.075248622
Hif1an	1.074532373
Eaf1	1.072842104
Kctd21	1.070430691
Gria1	1.070028873
Ltn1	1.069368901
1700123O20Rik	1.062652199
Dusp1	1.061241269
Pim2	1.06076024
Mphosph8	1.060597918
Tiam2	1.060386038
Atm	1.056830771
Atp7a	1.056539901
Chd9	1.055513598
Pias2	1.054516211
Plxna1	1.052728714
Unc79	1.051303039
Cibar2	1.044387254
Rnf125	1.042846495
Myt1l	1.040523793
Tmprss6	1.039630632
Elfn2	1.03869411
Zfp667	1.03488663
Flt4	1.033166868
Nt5dc3	1.031681075
Derl2	1.030340519
Dmc1	1.030276917
Car15	1.030182317
1110019D14Rik	1.025799444
Wee1	1.025032962
Fgfr1	1.023741922
Ttbk1	1.022938462
Fn1	1.0222451
Prickle2	1.020123167
Cdk2ap2	1.019603944
Pitpnm2	1.018835168
Tenm4	1.01783442
Prpf18	1.01740291
Ly6a	1.0154712
Fam120b	1.0146275
Ppp4r2	1.010681262
Rock2	1.008874934
Syn3	1.007982886
Dcdc2c	1.005913167
Zbtb20	1.005243802
Zscan22	1.004449219
Mylpf	1.004100005
Spata31d1b	1.003836166
Rc3h2	1.003366264
Ier3	1.002265573
Rapgef2	0.999788803
Azin1	0.99861209
Cdc7	0.998190507
Strn	0.996824886
Ncs1	0.996694395
Ccdc151	0.995787831
Zfp719	0.995435097
Myadm	0.994011133
Prss16	0.993268356
Aasdhppt	0.992968942
Slc31a2	0.992449754
Hax1	0.992290278
Srpr	0.989941774
Mroh4	0.988901225
Ldah	0.986629328
Rtl1	0.985424589
Htr4	0.98423923
Ints12	0.981790175
Fndc3a	0.981439118
Prkx	0.977541391
Zfp236	0.976401495
Cyp24a1	0.976326861
Togaram1	0.974077792
Shkbp1	0.974018466
Ankrd63	0.973565757
Pde4a	0.973138995
Fut9	0.971594634
Taf12	0.970845844
Glt8d2	0.967516462
Zc3h15	0.965233375
Ankrd13c	0.964540664
Cdc73	0.96447427
Dennd11	0.961855053
Fcgr3	0.961364555
Dhx16	0.961322695
Sod2	0.958382387
Clip1	0.956519353
Top1	0.955332783
Med13	0.953925849
Phf11c	0.953889595
Snph	0.953604308
Zfp12	0.952092736
Ccdc162	0.95208059
Glul	0.951927085
Efcab5	0.951715261
Zmynd15	0.950832368
Pex1	0.950492453
5031425E22Rik	0.949969787
Gm11841	0.949642389
Ms4a6c	0.949161455
Trip11	0.948362374
Spry2	0.948292154
Adgrg1	0.946553153
Pik3cb	0.945669328
Cemip	0.941028456
Ankrd45	0.940918387
Cyb5r4	0.939830553
Marf1	0.938094054
Zfp760	0.937842316
Krit1	0.936592214
Rn7s2	0.936307759
Rnft1	0.935814005
Rbm15	0.934457282
Pappa	0.934107393
Dot1l	0.933330717
